Part Name,Part Number,a-yyy,b-nyy,c-yny,d-nny,e-yyn,f-nyn,g-ynn,h-nnn
iPhone 7 Plus 32GB Other,A1661/A1784/A1785,0,0,0,0,0,0,0,0
iPhone 7 Plus 128GB Other,A1661/A1784/A1785,0,0,0,0,0,0,0,0
iPhone 7 Plus 256GB Other,A1661/A1784/A1785,0,0,0,0,0,0,0,0
iPhone 8 64GB AT&T,A1905,279,0,0,0,248,0,0,0
iPhone 8 256GB AT&T,A1905,310,0,0,0,279,0,0,0
iPhone 8 64GB Verizon,A1863,0,0,0,0,0,0,0,0
iPhone 8 256GB Verizon,A1863,0,0,0,0,0,0,0,0
iPhone 8 64GB Unlocked,A1863/A1905/A1906,0,0,0,0,0,0,0,0
iPhone 8 256GB Unlocked,A1863/A1905/A1906,0,0,0,0,0,0,0,0
iPhone 8 64GB T-Mobile,A1905,279,0,0,0,248,0,0,0
iPhone 8 256GB T-Mobile,A1905,310,0,0,0,279,0,0,0
iPhone 8 64GB Sprint,A1863,279,0,0,0,248,0,0,0
iPhone 8 256GB Sprint,A1863,310,0,0,0,279,0,0,0
iPhone 8 64GB Other,A1863/A1905/A1906,279,0,0,0,248,0,0,0
iPhone 8 256GB Other,A1863/A1905/A1906,310,0,0,0,279,0,0,0
iPhone 8 Plus 64GB AT&T,A1897,341,0,0,0,295,0,0,0
iPhone 8 Plus 256GB AT&T,A1897,372,0,0,0,326,0,0,0
iPhone 8 Plus 64GB Verizon,A1864,0,0,0,0,0,0,0,0
iPhone 8 Plus 256GB Verizon,A1864,0,0,0,0,0,0,0,0
iPhone 8 Plus 64GB Unlocked,A1864/A1897/A1898,0,0,0,0,0,0,0,0
iPhone 8 Plus 256GB Unlocked,A1864/A1897/A1898,0,0,0,0,0,0,0,0
iPhone 8 Plus 64GB T-Mobile,A1897,341,0,0,0,295,0,0,0
iPhone 8 Plus 256GB T-Mobile,A1897,372,0,0,0,326,0,0,0
iPhone 8 Plus 64GB Sprint,A1864,341,0,0,0,295,0,0,0
iPhone 8 Plus 256GB Sprint,A1864,372,0,0,0,326,0,0,0
iPhone 8 Plus 64GB Other,A1864/A1897/A1898,341,0,0,0,295,0,0,0
iPhone 8 Plus 256GB Other,A1864/A1897/A1898,372,0,0,0,326,0,0,0
iPhone X 64GB AT&T,A1901,487,0,0,0,409,0,0,0
iPhone X 256GB AT&T,A1901,533,0,0,0,455,0,0,0
iPhone X 64GB Verizon,A1865,0,0,0,0,480,0,0,0
iPhone X 256GB Verizon,A1865,0,0,0,0,510,0,0,0
iPhone X 64GB Unlocked,A1865/A1901/A1902,0,0,0,0,480,0,0,0
iPhone X 256GB Unlocked,A1865/A1901/A1902,0,0,0,0,510,0,0,0
iPhone X 64GB T-Mobile,A1901,487,0,0,0,409,0,0,0
iPhone X 256GB T-Mobile,A1901,533,0,0,0,455,0,0,0
iPhone X 64GB Sprint,A1865,487,0,0,0,409,0,0,0
iPhone X 256GB Sprint,A1865,533,0,0,0,455,0,0,0
iPhone X 64GB Other,A1865/A1901/A1902,487,0,0,0,409,0,0,0
iPhone X 256GB Other,A1865/A1901/A1902,533,0,0,0,455,0,0,0
iPad 16GB 3G,A1337,0,0,0,0,0,0,0,0
iPad 16GB WiFi,A1219,0,0,0,0,0,0,0,0
iPad 32GB 3G,A1337,0,0,0,0,0,0,0,0
iPad 32GB WiFi,A1219,0,0,0,0,0,0,0,0
iPad 64GB 3G,A1337,0,0,0,0,0,0,0,0
iPad 64GB WiFi,A1219,0,0,0,0,0,0,0,0
iPad 2 16GB AT&T,A1396,0,0,0,0,0,0,0,0
iPad 2 32GB AT&T,A1396,0,0,0,0,0,0,0,0
iPad 2 64GB AT&T,A1396,0,0,0,0,0,0,0,0
iPad 2 16GB Verizon,A1397,0,0,0,0,0,0,0,0
iPad 2 32GB Verizon,A1397,0,0,0,0,0,0,0,0
iPad 2 64GB Verizon,A1397,0,0,0,0,0,0,0,0
iPad 2 16GB WiFi,A1395,0,0,0,0,0,0,0,0
iPad 2 32GB WiFi,A1395,0,0,0,0,0,0,0,0
iPad 2 64GB WiFi,A1395,0,0,0,0,0,0,0,0
iPad 3 16GB AT&T,A1430,0,0,0,0,0,0,0,0
iPad 3 32GB AT&T,A1430,0,0,0,0,0,0,0,0
iPad 3 64GB AT&T,A1430,0,0,0,0,0,0,0,0
iPad 3 16GB Verizon,A1403,0,0,0,0,0,0,0,0
iPad 3 32GB Verizon,A1403,0,0,0,0,0,0,0,0
iPad 3 64GB Verizon,A1403,0,0,0,0,0,0,0,0
iPad 3 16GB WiFi,A1416,0,0,0,0,0,0,0,0
iPad 3 32GB WiFi,A1416,0,0,0,0,0,0,0,0
iPad 3 64GB WiFi,A1416,0,0,0,0,0,0,0,0
iPad 4 16GB AT&T,A1459,0,0,0,0,0,0,0,0
iPad 4 32GB AT&T,A1459,0,0,0,0,0,0,0,0
iPad 4 64GB AT&T,A1459,0,0,0,0,0,0,0,0
iPad 4 128GB AT&T,A1459,0,0,0,0,0,0,0,0
iPad 4 16GB Verizon,A1460,0,0,0,0,0,0,0,0
iPad 4 64GB Verizon,A1460,0,0,0,0,0,0,0,0
iPad 4 32GB Verizon,A1460,0,0,0,0,0,0,0,0
iPad 4 128GB Verizon,A1460,0,0,0,0,0,0,0,0
iPad 4 16GB s/o,A1460,0,0,0,0,0,0,0,0
iPad 4 32GB s/o,A1460,0,0,0,0,0,0,0,0
iPad 4 64GB s/o,A1460,0,0,0,0,0,0,0,0
iPad 4 128GB s/o,A1460,0,0,0,0,0,0,0,0
iPad 4 16GB WiFi,A1458,0,0,0,0,0,0,0,0
iPad 4 32GB WiFi,A1458,0,0,0,0,0,0,0,0
iPad 4 64GB WiFi,A1458,0,0,0,0,0,0,0,0
iPad 4 128GB WiFi,A1458,0,0,0,0,0,0,0,0
iPad Air 16GB AT&T,A1475,0,0,0,0,0,0,0,0
iPad Air 32GB AT&T,A1475,0,0,0,0,0,0,0,0
iPad Air 64GB AT&T,A1475,0,0,0,0,0,0,0,0
iPad Air 128GB AT&T,A1475,0,0,0,0,0,0,0,0
iPad Air 16GB Verizon,A1475,0,0,0,0,0,0,0,0
iPad Air 32GB Verizon,A1475,0,0,0,0,0,0,0,0
iPad Air 64GB Verizon,A1475,0,0,0,0,0,0,0,0
iPad Air 128GB Verizon ,A1475,0,0,0,0,0,0,0,0
iPad Air 16GB T-Mobile,A1475,0,0,0,0,0,0,0,0
iPad Air 32GB T-Mobile,A1475,0,0,0,0,0,0,0,0
iPad Air 64GB T-Mobile,A1475,0,0,0,0,0,0,0,0
iPad Air 128GB T-Mobile ,A1475,0,0,0,0,0,0,0,0
iPad Air 16GB s/o,A1475/A1476,0,0,0,0,0,0,0,0
iPad Air 32GB s/o,A1475/A1476,0,0,0,0,0,0,0,0
iPad Air 64GB s/o,A1475/A1476,0,0,0,0,0,0,0,0
iPad Air 128GB s/o,A1475/A1476,0,0,0,0,0,0,0,0
iPad Air 16GB WiFi,A1474,0,0,0,0,0,0,0,0
iPad Air 32GB WiFi,A1474,0,0,0,0,0,0,0,0
iPad Air 64GB WiFi,A1474,0,0,0,0,0,0,0,0
iPad Air 128GB WiFi,A1474,0,0,0,0,0,0,0,0
iPad Air 2 16GB AT&T,A1567,0,0,0,0,0,0,0,0
iPad Air 2 64GB AT&T,A1567,0,0,0,0,0,0,0,0
iPad Air 2 128GB AT&T,A1567,0,0,0,0,0,0,0,0
iPad Air 2 16GB Verizon,A1567,0,0,0,0,0,0,0,0
iPad Air 2 32GB Verizon,A1567,0,0,0,0,0,0,0,0
iPad Air 2 64GB Verizon,A1567,0,0,0,0,0,0,0,0
iPad Air 2 128GB Verizon,A1567,0,0,0,0,0,0,0,0
iPad Air 2 16GB T-Mobile,A1567,0,0,0,0,0,0,0,0
iPad Air 2 64GB T-Mobile,A1567,0,0,0,0,0,0,0,0
iPad Air 2 128GB T-Mobile,A1567,0,0,0,0,0,0,0,0
iPad Air 2 16GB s/o,A1567,0,0,0,0,0,0,0,0
iPad Air 2 64GB s/o,A1567,0,0,0,0,0,0,0,0
iPad Air 2 128GB s/o,A1567,0,0,0,0,0,0,0,0
iPad Air 2 16GB WiFi,A1566,0,0,0,0,0,0,0,0
iPad Air 2 32GB WiFi,A1566,0,0,0,0,0,0,0,0
iPad Air 2 64GB WiFi,A1566,0,0,0,0,0,0,0,0
iPad Air 2 128GB WiFi,A1566,0,0,0,0,0,0,0,0
iPad Air 2 16GB Wi-Fi + Cellular,A1567,0,0,0,0,0,0,0,0
iPad Air 2 64GB Wi-Fi + Cellular,A1567,0,0,0,0,0,0,0,0
iPad Air 2 128GB Wi-Fi + Cellular,A1567,0,0,0,0,0,0,0,0
iPad Mini 16GB AT&T,A1454/A1455,0,0,0,0,0,0,0,0
iPad Mini 32GB AT&T,A1454/A1455,0,0,0,0,0,0,0,0
iPad Mini 64GB AT&T,A1454/A1455,0,0,0,0,0,0,0,0
iPad Mini 16GB Verizon,A1454/A1455,0,0,0,0,0,0,0,0
iPad Mini 32GB Verizon,A1454/A1455,0,0,0,0,0,0,0,0
iPad Mini 64GB Verizon,A1454/A1455,0,0,0,0,0,0,0,0
iPad Mini 16GB T-Mobile,A1454,0,0,0,0,0,0,0,0
iPad Mini 16GB s/o,A1455,0,0,0,0,0,0,0,0
iPad Mini 32GB s/o,A1455,0,0,0,0,0,0,0,0
iPad Mini 64GB s/o,A1455,0,0,0,0,0,0,0,0
iPad Mini 16GB WiFi,A1432,0,0,0,0,0,0,0,0
iPad Mini 32GB WiFi,A1432,0,0,0,0,0,0,0,0
iPad Mini 64GB WiFi,A1432,0,0,0,0,0,0,0,0
iPad Mini 2 16GB AT&T,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 32GB AT&T,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 64GB AT&T,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 128GB AT&T,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 16GB Verizon,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 32GB Verizon,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 64GB Verizon,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 128GB Verizon,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 16GB T-Mobile,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 32GB T-Mobile,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 64GB T-Mobile,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 128GB T-Mobile,A1490,0,0,0,0,0,0,0,0
iPad Mini 2 16GB s/o,A1490/A1491,0,0,0,0,0,0,0,0
iPad Mini 2 32GB s/o,A1490/A1491,0,0,0,0,0,0,0,0
iPad Mini 2 64GB s/o,A1490/A1491,0,0,0,0,0,0,0,0
iPad Mini 2 128GB s/o,A1490/A1491,0,0,0,0,0,0,0,0
iPad Mini 2 16GB WiFi,A1489,0,0,0,0,0,0,0,0
iPad Mini 2 32GB WiFi,A1489,0,0,0,0,0,0,0,0
iPad Mini 2 64GB WiFi,A1489,0,0,0,0,0,0,0,0
iPad Mini 2 128GB WiFi,A1489,0,0,0,0,0,0,0,0
iPad Mini 3 16GB AT&T,,0,0,0,0,0,0,0,0
iPad Mini 3 64GB AT&T,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 128GB AT&T,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 16GB Verizon,,0,0,0,0,0,0,0,0
iPad Mini 3 64GB Verizon,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 128GB Verizon,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 16GB T-Mobile,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 64GB T-Mobile,,0,0,0,0,0,0,0,0
iPad Mini 3 128GB T-Mobile,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 16GB s/o,A1600/A1601,0,0,0,0,0,0,0,0
iPad Mini 3 64GB s/o,,0,0,0,0,0,0,0,0
iPad Mini 3 128GB s/o,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 16GB Wi-Fi only,A1599,0,0,0,0,0,0,0,0
iPad Mini 3 64GB Wi-Fi only,A1599,0,0,0,0,0,0,0,0
iPad Mini 3 128GB Wi-Fi only,,0,0,0,0,0,0,0,0
iPad Mini 3 128GB Wi-Fi only,A1599,0,0,0,0,0,0,0,0
iPad Mini 3 16GB Wi-Fi + Cellular,A1600,0,0,0,0,0,0,0,0
iPad Mini 3 64GB Wi-Fi + Cellular,A1600/A1601,0,0,0,0,0,0,0,0
iPad Mini 3 128GB Wi-Fi + Cellular,A1600/A1601,0,0,0,0,0,0,0,0
iPad Mini 4 16GB WiFi,A1550/A1538,0,0,0,0,0,0,0,0
iPad Mini 4 32GB WiFi,A1550/A1538,0,0,0,0,0,0,0,0
iPad Mini 4 64GB WiFi,A1550/A1538,0,0,0,0,0,0,0,0
iPad Mini 4 128GB WiFi,A1550/A1538,0,0,0,0,0,0,0,0
iPad Mini 4 16GB WiFi + Cellular,A1550/A1538,0,0,0,0,0,0,0,0
iPad Mini 4 32GB WiFi + Cellul,A1550/A1538,0,0,0,0,0,0,0,0
iPad Mini 4 32GB WiFi + Cellular,A1567,0,0,0,0,0,0,0,0
iPad Mini 4 64GB WiFi + Cellular,A1550/A1538,0,0,0,0,0,0,0,0
iPad Mini 4 128GB WiFi + Cellular,A1550/A1538,0,0,0,0,0,0,0,0
iPad 9.7-inch 32GB Wi-Fi,A1822,0,0,0,0,0,0,0,0
iPad 9.7-inch 32GB Wi-Fi + Cellular,A1823,0,0,0,0,0,0,0,0
iPad 9.7-inch 128GB Wi-Fi,A1822,0,0,0,0,0,0,0,0
iPad 9.7-inch 128GB Wi-Fi + Cellular,A1823,0,0,0,0,0,0,0,0
